"Predictor";"Estimate";"Std.Error";"P(>|t|)"
"(Intercept)";3,85024503050779;0,280739877767859;0,000000220763789915424
"time_jr";-0,63680131376631;0,0324277961232728;0,00000000905410368901016
"age";-0,000515351804514103;0,00468998793623751;0,914892361153981
"sekseVrouw";-0,0200904716012366;0,0102945895663222;0,0525996481400366
"etn_herkomstWesterse_migratieachtergrond";-0,0508056062901455;0,015723293293803;0,00128238572128447
"etn_herkomstNiet_westerse_migratieachtergrond";-0,132447533755731;0,0233343942350581;0,000000027470734575985
"eduMiddel";-0,36336439889546;0,0124902273801337;0
"eduLaag";-0,568468570635349;0,0206164130946581;0
"huisAlleenstaand_met_kinderen";-0,153305326257754;0,0243539249353767;0,000000000549963852236601
"huisSamenwonend_met_partner_met_thuiswonende_kinderen";0,115672314859641;0,0142166447655357;0,00000000000000999200722162641
"huisSamenwonend_met_partner_zonder_thuiswonende_kinderen";0,13643500460154;0,0151134389922896;0,00000000000808397793150561
"huisAnders";0,0169173765083755;0,0276534480930662;0,544951466822728
