"Predictor";"Estimate";"Std.Error";"P(>|t|)"
"(Intercept)";4,96361589961959;0,0291377882435745;0
"time_yr";-0,0812795940910488;0,0233916116159063;0,0111952066084902
"I(time_yr^2)";-0,371599516001908;0,0208384836392956;0,00159051604824723
"age_cat35-49";-0,0900617112781593;0,0320734880249476;0,0953828026921855
"age_cat50-64";-0,162685595646602;0,0236904198572051;0,00254603181660396
"age_cat65+";-0,262975150286432;0,0232860819056917;0,00014926134728066
"sekseVrouw";-0,0250362630977524;0,010864803591906;0,0241599409065008
"etn_herkomstmigratie_westers";-0,0249416970190697;0,0215720240179543;0,283146729809277
"etn_herkomstmigratie_niet_westers";-0,0566594666479736;0,0351536628207747;0,137166200253341
"eduMiddel";-0,154786659069347;0,0118881512811937;0
"eduLaag";-0,212797114145899;0,0240482252311325;4,98193086784227e-09
"huisAlleenstaand_met_kinderen";-0,00882449162392922;0,029133351404798;0,762207719737946
"huisSamenwonend_met_partner_met_thuiswonende_kinderen";0,0544744441860514;0,0168079074910839;0,00245429928276142
"huisSamenwonend_met_partner_zonder_thuiswonende_kinderen";0,0138950190178324;0,0129994763233306;0,285168525416754
"huisAnders";-0,0156742406805446;0,0294213449300039;0,614854812255949
"gezo";-0,0825699018399184;0,0098129728845278;0,0282159725225188
"rond";-0,124874926833043;0,00650034414673635;0,00696370646091315
"drei";0,108570981337031;0,0117898349755986;0,0354870994331555
"onvr";-0,391092353097125;0,00462391542956081;3,36458416683172e-10
