"Predictor";"Estimate";"Std.Error";"P(>|t|)"
"(Intercept)";4,61342658240449;0,259204217184953;0,0000000221211426953971
"time_jr";-0,519806181385807;0,0317170268174038;0,0000000446641623685906
"age";-0,00269781886863924;0,00397502869282869;0,514241251122589
"sekseVrouw";-0,0254075746721395;0,00916497150862259;0,00614136936319021
"etn_herkomstWesterse_migratieachtergrond";-0,0464242999291655;0,0140637312366981;0,00100569984473964
"etn_herkomstNiet_westerse_migratieachtergrond";-0,120192813125612;0,0211375382295037;0,0000000347410118450853
"eduMiddel";-0,257603486988843;0,0125008401423812;0
"eduLaag";-0,390561319647665;0,0192922495446356;0
"huisAlleenstaand_met_kinderen";-0,127576638385034;0,0219737172777403;0,0000000110579243539632
"huisSamenwonend_met_partner_met_thuiswonende_kinderen";0,0842097364636216;0,0132713557828598;0,00000000224827445549636
"huisSamenwonend_met_partner_zonder_thuiswonende_kinderen";0,0874218541167661;0,0141855945834591;0,000000343826116022683
"huisAnders";0,00678591205412638;0,0238375574225295;0,777490332110256
"gezo";-0,0698290213555482;0,00742816604924118;0,00000218569836163418
"rond";-0,047939558714547;0,00328141774581002;0,000000000479436046418869
"drei";0,052137852899729;0,0109296397407539;0,00088261141360424
"onvr";-0,26964864166634;0,0128034189564865;0,0000000031532882971419
