"Predictor";"Estimate";"Std.Error";"P(>|t|)"
"(Intercept)";3,97085021013279;0,185468940872518;0,00000000218389928363649
"time_jr";-0,630398758911614;0,025966976230947;0,000000000839261549145931
"age";-0,00273410766591491;0,00301428500618275;0,38688177192158
"sekseVrouw";0,00739259189761765;0,014076958234268;0,599495569453685
"etn_herkomstWesterse_migratieachtergrond";-0,0388977294503645;0,0240892803645186;0,106791179798179
"etn_herkomstNiet_westerse_migratieachtergrond";-0,0707528234180331;0,0419055026970991;0,0915186181840228
"eduMiddel";-0,37898589574455;0,0172266075937313;0
"eduLaag";-0,520022105689629;0,0337206598604192;0
"huisAlleenstaand_met_kinderen";-0,0975228470386253;0,0384735488868489;0,0113067883742648
"huisSamenwonend_met_partner_met_thuiswonende_kinderen";0,134404587842033;0,0202508945331073;0,000000000035923930497006
"huisSamenwonend_met_partner_zonder_thuiswonende_kinderen";0,14683642690034;0,0180830435505639;0,00000000000000177635683940025
"huisAnders";-0,00739092312816074;0,0341206002903945;0,828634373369677
